Question,1,2,3,4,5,6,7,N
Task 1,0,0,0,0,0,7,2,9
Task 2,0,0,0,0,2,5,2,9
Task 3,0,0,0,0,0,4,5,9
Task 4,0,0,0,0,0,0,9,9
Task 5,0,0,0,0,1,3,5,9
Task 6,0,0,0,0,0,4,5,9
